ID FACTURE;CODE FOURNISSEUR;NOM FOURNISSEUR;NUM FACTURE;DATE FACTURE;ENTITE FACTURE;ID ENGAGEMENT;MONTANT TTC;DATE INSERTION;STATUT
17-152-506_51144601-44;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;C2016388;27/02/2017;G04;ADDEVE;4000;02/06/2017;Correction
17-157-506_51241801-165;F12507;MOKAMATIC;FA0057869;01/09/2016;G09;ADCOGR;125,58;08/06/2017;Correction
17-157-506_51241801-238;F03051;SFR BUSINESS DISTRIBUTION;QT794625;21/03/2017;G09;ADSINF;5904;08/06/2017;Correction
17-152-506_51147301-138;F28505;NEOSOFT SERVICES;4H42289;24/05/2017;G09;ADSINF;10264,32;02/06/2017;Correction
17-152-506_51147301-140;F08729;TALENTSOFT;FATS171221;31/03/2017;G09;ADSINF;2280;02/06/2017;Correction
17-152-506_51147301-152;F28505;NEOSOFT SERVICES;4H42289;24/05/2017;G09;ADSINF;10264,32;02/06/2017;Correction
17-157-506_51241101-37;F09456;CHUBB SICLI SECURITE UTC FIRE SECURI;27011117;23/05/2017;999;ABILLM;458,36;07/06/2017;Correction
17-157-506_51241101-39;F09456;CHUBB SICLI SECURITE UTC FIRE SECURI;27011118;08/09/2016;999;ABILLM;20,62;07/06/2017;Correction
17-157-506_51241101-41;F09456;CHUBB SICLI SECURITE UTC FIRE SECURI;27011119;08/09/2016;999;ABILLM;36,38;07/06/2017;Correction
17-153-506_51180001-154;F30983;VERTONE;DEB20160704;27/07/2016;G04;AERMKG;1201,92;06/06/2017;Correction
17-153-506_51180001-156;F30983;VERTONE;FAC20170314;15/03/2017;G04;AERMKG;26160;06/06/2017;Correction
17-153-506_51180001-10;F05155;INFOTEL 92 CONSEIL;1705LYO00208;30/05/2017;999;ADSINF;-8236,80;06/06/2017;Correction
17-153-506_51180001-12;F05155;INFOTEL 92 CONSEIL;1705LYO00209;30/05/2017;999;ADSINF;-8236,80;06/06/2017;Correction
17-153-506_51180001-23;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;954097;23/05/2017;G04;ADRHEC;360;06/06/2017;Correction
17-151-506_51092201-74;F06579;OBSERVATOIRE DE L IMMOBILIER;17MGS34;05/04/2017;G04;AFIMEP;2300;01/06/2017;Correction
17-157-506_51241101-92;F27565;STEMA;FA00871;09/05/2017;G04;ADIMEX;3744;07/06/2017;Correction
17-158-506_51281801-162;F06009;EURODOR LOCHON JACKY MICHEL GABRIEL;21478SOSO;04/05/2017;G09;ADLACC;2894,40;09/06/2017;Correction
17-158-506_51281801-35;F29120;VODECLIC;VOD0001061;18/04/2017;G09;ADFORM;24960;09/06/2017;Correction
17-159-506_51326601-91;F33007;DEODIS;D1705062;31/05/2017;999;ADSINF;12916,80;12/06/2017;Correction
17-159-506_51326601-154;F01993;ASS VALENTIN HAUY SCE AVEUGLE MALVOY;B170576;31/05/2017;G04;ADRHEC;79,57;12/06/2017;Correction
17-159-506_51326601-30;F29120;VODECLIC;VOD0001060;18/04/2017;G04;ADFORM;13440;12/06/2017;Correction
17-160-506_51364301-36;F19605;HOEFERLIN BOUFFAY;F01273;10/05/2017;G04;ADFORF;1810,05;13/06/2017;Correction
17-157-506_51241701-188;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F0007912;10/05/2017;G09;ADCORM;71,70;08/06/2017;Correction
17-157-506_51241701-107;F01771;ALTI SA;ATDI1800214;28/04/2017;G09;ADSINF;7560;08/06/2017;Correction
17-159-506_51324901-122;F28505;NEOSOFT SERVICES;4H42289;24/05/2017;G09;ADSINF;10264,32;12/06/2017;Correction
17-159-506_51324901-126;F19170;MAISON DE L ECONOMIE DEVELOPPEMENT;2016090;04/07/2016;G09;ADCOGR;187,20;12/06/2017;Correction
17-164-506_51426801-102;F01208;CHATEAU FORM;F78697V9K3;30/05/2017;G09;ARCRIS;12216,08;14/06/2017;Correction
17-160-506_51364301-80;F32851;SOC NOUVELLE DU TERRASS HOTEL;173152;02/06/2017;999;ADCOMA;12444,63;13/06/2017;Correction
17-160-506_51364301-112;F02087;AUBAY SA;ARC16121948;31/01/2017;G04;ARIMOP;225,23;13/06/2017;Correction
17-163-506_51425301-244;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FCEA20170454;30/05/2017;G04;ABILLM;2175;14/06/2017;Correction
17-163-506_51425301-258;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2017096;23/05/2017;G04;ASGJFP;840;14/06/2017;Correction
17-163-506_51425301-47;F26936;GUYANE ESPRESSO;FA21631741;31/12/2016;G04;ADIMEX;150;14/06/2017;Correction
17-163-506_51425301-53;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F1311705005;31/05/2017;G04;ADIMEX;461,16;14/06/2017;Correction
17-163-506_51425301-282;F33055;CONGRES ET EXPOSITIONS DE BORDEAUX;G517301;26/04/2017;G04;ADCORC;245,27;14/06/2017;Correction
17-164-506_51478101-20;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2017050508;31/05/2017;G09;ADLACG;191,09;15/06/2017;Correction
17-164-506_51478101-50;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;5002075;02/06/2017;G09;ARGCLF;15,50;15/06/2017;Correction
17-163-506_51426601-147;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FA0069;15/03/2017;G09;ADCOLI;1500;14/06/2017;Correction
17-163-506_51426601-51;F11311;AUSY;G48170500094;31/05/2017;999;ABILLM;6182,40;14/06/2017;Correction
17-163-506_51426601-55;F11311;AUSY;G48170500095;31/05/2017;999;ABILLM;7056;14/06/2017;Correction
17-163-506_51426601-59;F11311;AUSY;G48170500096;31/05/2017;999;ABILLM;10716;14/06/2017;Correction
17-163-506_51426601-63;F11311;AUSY;G48170500097;31/05/2017;999;ABILLM;8424;14/06/2017;Correction
17-163-506_51426601-67;F11311;AUSY;G48170500098;31/05/2017;999;ABILLM;7776;14/06/2017;Correction
17-163-506_51426601-181;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;B700171;01/06/2017;G09;ASGJFG;360;14/06/2017;Correction
17-164-506_51474901-15;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;59432294317E02K03;06/06/2017;G04;ADSINF;49,15;15/06/2017;Correction
17-164-506_51474901-18;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;26292121217E02K03;02/06/2017;G04;ADSINF;1440,22;15/06/2017;Correction
17-164-506_51474901-21;F30858;PLACE DE LA FORMATION;29127;31/05/2017;G04;ADFORM;5483,52;15/06/2017;Correction
17-164-506_51476201-80;F06998;PROXIAD NORD;ND31705759;09/05/2017;G04;ADSINF;120,31;15/06/2017;Correction
17-164-506_51476201-191;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;95025765;30/05/2017;G04;ADSINF;726000;15/06/2017;Correction
17-164-506_51476201-232;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;1062017;01/06/2017;G04;ADCOOR;200,05;15/06/2017;Correction
17-160-506_51365301-109;F14145;CAT AMANIA;1705CRPL070051;31/05/2017;G09;ADSINF;145,20;13/06/2017;Correction
17-164-506_51426801-137;F16160;RES@ANTILLES;17FA4890;29/05/2017;G09;ADSINF;11918,73;14/06/2017;Correction
17-160-506_51366301-166;F24889;ALGO VANDB RENNES;FA004699;02/06/2017;G09;ADCORN;351,30;13/06/2017;Correction
